MOI,Time,Cell.line,Replicate,Cells
5,17,E484D,3,89607.83
5,18,E484D,3,98259.55
5,19,E484D,3,105659.6
5,20,E484D,3,119827
5,21,E484D,3,132461.7
5,22,E484D,3,163116.2
5,23,E484D,3,159712.9
5,24,E484D,3,166715.1
5,25,E484D,3,170413.8
5,26,E484D,3,176378.9
5,27,E484D,3,168823.2
5,28,E484D,3,131652.5
5,29,E484D,3,104081
5,30,E484D,3,94866.52
5,31,E484D,3,99914.47
5,32,E484D,3,107746.1
5,33,E484D,3,109460.1
5,34,E484D,3,113986.5
5,35,E484D,3,115907.4
5,36,E484D,3,119271.9
5,37,E484D,3,123512.9
5,38,E484D,3,125930.5
5,39,E484D,3,130463
5,40,E484D,3,137461.3
5,41,E484D,3,137391.4
5,42,E484D,3,151447.8
5,43,E484D,3,102381.5
5,44,E484D,3,105769.8
5,45,E484D,3,106900
5,46,E484D,3,125013.1
5,47,E484D,3,141800.5
5,48,E484D,3,156326.3
5,49,E484D,3,171298.7
5,50,E484D,3,186510.1
5,51,E484D,3,204538.5
5,52,E484D,3,224277.1
5,53,E484D,3,246616.5
5,54,E484D,3,254635.3
5,55,E484D,3,274440.2
5,56,E484D,3,283937.9
5,57,E484D,3,297831.4
5,58,E484D,3,92926.62
5,59,E484D,3,88463.78
5,60,E484D,3,356418
5,61,E484D,3,13909.38
5,62,E484D,3,362699.6
5,63,E484D,3,383846.7
5,64,E484D,3,35179.69
5,65,E484D,3,15836.08
5,66,E484D,3,34822.66
5,67,E484D,3,37529.93
5,68,E484D,3,41780.45
5,69,E484D,3,21088.96
5,70,E484D,3,51402.68
5,71,E484D,3,46159.51
5,72,E484D,3,29881.67
5,73,E484D,3,28729.88
5,74,E484D,3,29366.07
5,75,E484D,3,32554.91
5,76,E484D,3,28317.81
5,77,E484D,3,29088.61
5,78,E484D,3,29124.66
5,79,E484D,3,23886.11
5,80,E484D,3,26563.9
5,81,E484D,3,31659.61
5,82,E484D,3,26558.27
5,83,E484D,3,26604.33
5,84,E484D,3,32788.03
5,85,E484D,3,37969.54
5,86,E484D,3,44708.63
5,87,E484D,3,51601.82
5,88,E484D,3,63723.89
5,89,E484D,3,72551.17
5,90,E484D,3,84104.1
5,91,E484D,3,100538.6
5,92,E484D,3,109754.9
5,93,E484D,3,120906.5
5,94,E484D,3,134150
5,95,E484D,3,159804.5
5,96,E484D,3,162222.3
5,97,E484D,3,181478.2
5,0,E484K/R685S,1,15219.18
5,1,E484K/R685S,1,7129.771
5,2,E484K/R685S,1,13905.15
