MOI,Time,Cell.line,Replicate,Cells
20,87,E484K/R685S,3,41923.46
20,88,E484K/R685S,3,45152.4
20,89,E484K/R685S,3,46282.04
20,90,E484K/R685S,3,47624.6
20,91,E484K/R685S,3,50013.75
20,92,E484K/R685S,3,52945.07
20,93,E484K/R685S,3,52546.02
20,94,E484K/R685S,3,53809.13
20,95,E484K/R685S,3,55746.25
20,96,E484K/R685S,3,57963.5
20,97,E484K/R685S,3,58183.28
