MOI,Time,Cells,Replicate,Cell.line
0.01,26,19.12709,2,Vero E6
0.01,27,21.18062,2,Vero E6
0.01,28,22.8516,2,Vero E6
0.01,29,25.26455,2,Vero E6
0.01,30,28.72277,2,Vero E6
0.01,31,31.57714,2,Vero E6
0.01,32,35.47978,2,Vero E6
0.01,33,38.88216,2,Vero E6
0.01,34,43.63372,2,Vero E6
0.01,35,48.78302,2,Vero E6
0.01,36,53.05099,2,Vero E6
0.01,37,58.27105,2,Vero E6
0.01,38,63.70991,2,Vero E6
0.01,39,68.40861,2,Vero E6
0.01,40,73.75753,2,Vero E6
0.01,41,79.67145,2,Vero E6
0.01,42,84.34737,2,Vero E6
0.01,43,89.43301,2,Vero E6
0.01,44,95.00126,2,Vero E6
0.01,45,100.6695,2,Vero E6
0.01,46,105.1357,2,Vero E6
0.01,47,108.4932,2,Vero E6
0.01,48,115.5037,2,Vero E6
0.01,0,0,3,Vero E6
0.01,1,0,3,Vero E6
0.01,2,0,3,Vero E6
0.01,3,0,3,Vero E6
0.01,4,0,3,Vero E6
0.01,5,0.03410611,3,Vero E6
0.01,6,0.2568092,3,Vero E6
0.01,7,0.5205952,3,Vero E6
0.01,8,0.790626,3,Vero E6
0.01,9,1.185698,3,Vero E6
0.01,10,1.796084,3,Vero E6
0.01,11,2.315997,3,Vero E6
0.01,12,3.064988,3,Vero E6
0.01,13,4.146537,3,Vero E6
0.01,14,4.994447,3,Vero E6
0.01,15,5.738451,3,Vero E6
0.01,16,6.579146,3,Vero E6
0.01,17,7.434824,3,Vero E6
0.01,18,8.577164,3,Vero E6
0.01,19,10.17125,3,Vero E6
0.01,20,11.12949,3,Vero E6
0.01,21,12.87187,3,Vero E6
0.01,22,14.79319,3,Vero E6
0.01,23,16.31716,3,Vero E6
0.01,24,17.80574,3,Vero E6
0.01,25,19.90027,3,Vero E6
0.01,26,21.72064,3,Vero E6
0.01,27,24.82245,3,Vero E6
0.01,28,28.33208,3,Vero E6
0.01,29,32.36586,3,Vero E6
0.01,30,35.98642,3,Vero E6
0.01,31,40.7392,3,Vero E6
0.01,32,45.02966,3,Vero E6
0.01,33,50.3207,3,Vero E6
0.01,34,55.48262,3,Vero E6
0.01,35,60.77571,3,Vero E6
0.01,36,64.70693,3,Vero E6
0.01,37,70.3545,3,Vero E6
0.01,38,74.34324,3,Vero E6
0.01,39,78.13892,3,Vero E6
0.01,40,81.77757,3,Vero E6
0.01,41,87.89825,3,Vero E6
0.01,42,94.54654,3,Vero E6
0.01,43,100.2695,3,Vero E6
0.01,44,104.3824,3,Vero E6
0.01,45,107.9184,3,Vero E6
0.01,46,113.2912,3,Vero E6
0.01,47,117.1718,3,Vero E6
0.01,48,120.7042,3,Vero E6
0.05,0,0,1,Vero E6
0.05,1,0,1,Vero E6
0.05,2,0,1,Vero E6
0.05,3,0,1,Vero E6
0.05,4,0.05557102,1,Vero E6
0.05,5,0.9093859,1,Vero E6
0.05,6,3.048311,1,Vero E6
0.05,7,5.930767,1,Vero E6
0.05,8,9.280778,1,Vero E6
0.05,9,12.97441,1,Vero E6
0.05,10,16.49043,1,Vero E6
0.05,11,20.48798,1,Vero E6
0.05,12,25.16781,1,Vero E6
0.05,13,28.90249,1,Vero E6
0.05,14,32.90644,1,Vero E6
0.05,15,35.53938,1,Vero E6
0.05,16,38.15469,1,Vero E6
0.05,17,41.55351,1,Vero E6
0.05,18,44.51731,1,Vero E6
0.05,19,47.54005,1,Vero E6
0.05,20,51.16539,1,Vero E6
0.05,21,53.71646,1,Vero E6
0.05,22,57.2296,1,Vero E6
0.05,23,59.46148,1,Vero E6
0.05,24,63.54257,1,Vero E6
0.05,25,67.38132,1,Vero E6
0.05,26,72.1769,1,Vero E6
0.05,27,79.77188,1,Vero E6
0.05,28,98.28104,1,Vero E6
0.05,29,107.4866,1,Vero E6
0.05,30,113.4034,1,Vero E6
0.05,31,125.1774,1,Vero E6
0.05,32,129.7844,1,Vero E6
0.05,33,132.9373,1,Vero E6
0.05,34,138.9473,1,Vero E6
0.05,35,139.5499,1,Vero E6
0.05,36,143.7693,1,Vero E6
0.05,37,146.545,1,Vero E6
0.05,38,146.7959,1,Vero E6
0.05,39,150.0538,1,Vero E6
0.05,40,150.3728,1,Vero E6
0.05,41,151.4606,1,Vero E6
0.05,42,153.1853,1,Vero E6
0.05,43,154.7776,1,Vero E6
0.05,44,161.3653,1,Vero E6
0.05,45,161.4739,1,Vero E6
0.05,46,166.7426,1,Vero E6
0.05,47,170.6295,1,Vero E6
0.05,48,178.0941,1,Vero E6
0.05,0,0,2,Vero E6
0.05,1,0,2,Vero E6
0.05,2,0,2,Vero E6
0.05,3,0,2,Vero E6
0.05,4,0.1508486,2,Vero E6
0.05,5,1.104372,2,Vero E6
0.05,6,3.185505,2,Vero E6
0.05,7,5.897735,2,Vero E6
0.05,8,8.672204,2,Vero E6
0.05,9,11.68686,2,Vero E6
0.05,10,14.3389,2,Vero E6
0.05,11,18.32558,2,Vero E6
0.05,12,22.65133,2,Vero E6
0.05,13,26.90018,2,Vero E6
0.05,14,30.52256,2,Vero E6
0.05,15,33.53809,2,Vero E6
0.05,16,37.27417,2,Vero E6
0.05,17,40.52057,2,Vero E6
0.05,18,43.17936,2,Vero E6
0.05,19,45.78183,2,Vero E6
0.05,20,48.50891,2,Vero E6
0.05,21,51.91304,2,Vero E6
0.05,22,54.98383,2,Vero E6
0.05,23,58.68448,2,Vero E6
0.05,24,61.95555,2,Vero E6
0.05,25,67.33457,2,Vero E6
0.05,26,72.3482,2,Vero E6
0.05,27,77.99967,2,Vero E6
0.05,28,87.39912,2,Vero E6
0.05,29,96.10626,2,Vero E6
0.05,30,107.0014,2,Vero E6
0.05,31,120.9292,2,Vero E6
0.05,32,125.4118,2,Vero E6
0.05,33,128.7195,2,Vero E6
0.05,34,132.3953,2,Vero E6
0.05,35,133.1696,2,Vero E6
0.05,36,135.9742,2,Vero E6
0.05,37,136.4473,2,Vero E6
0.05,38,137.8559,2,Vero E6
0.05,39,138.6468,2,Vero E6
